id,nama,url,harga
44,Athabasca ND8 Filter 77mm,https://galaxycamera.id/en/athabasca-nd8-filter-77mm.html,"Rp575.000,00"
45,Athabasca ND8 Filter 72mm,https://galaxycamera.id/en/athabasca-nd8-filter-72mm.html,"Rp510.500,00"
46,Athabasca ND8 Filter 67mm,https://galaxycamera.id/en/athabasca-nd8-filter-67mm.html,"Rp455.500,00"
47,Athabasca ND8 Filter 62mm,https://galaxycamera.id/en/athabasca-nd8-filter-62mm.html,"Rp428.000,00"
48,Athabasca ND8 Filter 58mm,https://galaxycamera.id/en/athabasca-nd8-filter-58mm.html,"Rp387.000,00"
49,Athabasca ND8 Filter 52mm,https://galaxycamera.id/en/athabasca-nd8-filter-52mm.html,"Rp344.000,00"
50,Marsace MT-2205Z Tripod,https://galaxycamera.id/en/marsace-mt-2205z-tripod.html,"Rp1.444.000,00"
51,LensGo LWM-308C Dual Wireless Lavalier Microphone,https://galaxycamera.id/en/lensgo-lwm-308c-dual-wireless-lavalier-microphone.html,"Rp1.700.000,00"
52,LensGo LWM-308C Wireless Lavalier Microphone,https://galaxycamera.id/en/lensgo-lwm-308c-wireless-lavalier-microphone.html,"Rp1.200.000,00"
53,Boya BY-CIP2 3.5mm TRS to TRRS Adaptor,https://galaxycamera.id/en/boya-by-cip2-3-5mm-trs-to-trrs-adaptor.html,"Rp99.000,00"
54,Boya BY-BM6060 Super-Cardioid Shotgun Microphone,https://galaxycamera.id/en/boya-by-bm6060-super-cardioid-shotgun-microphone.html,"Rp1.250.000,00"
55,Boya BY-M800 Cardioid Condenser Microphone,https://galaxycamera.id/en/boya-by-m800-cardioid-condenser-microphone.html,"Rp1.450.000,00"
56,Canon ET-63 Lens Hood For Lensa EF-S 55-250MM F4-5.6 IS STM,https://galaxycamera.id/en/canon-et-63-lens-hood-for-lensa-ef-s-55-250mm-f4-5-6-is-stm.html,"Rp290.000,00"
57,Canon EW-60E Lens Hood For Lensa EF-M 11-22mm F4-5.6 IS STM,https://galaxycamera.id/en/canon-ew-60e-lens-hood-for-lensa-ef-m-11-22mm-f4-5-6-is-stm.html,"Rp345.000,00"
58,Lens Cap Canon 49mm Original,https://galaxycamera.id/en/lens-cap-canon-49mm-original.html,"Rp85.000,00"
59,Charger Canon LC-E6 Original,https://galaxycamera.id/en/charger-canon-lc-e6-original.html,"Rp880.000,00"
60,Charger Canon LC-E17 Original,https://galaxycamera.id/en/charger-canon-lc-e17-original.html,"Rp1.040.000,00"
61,GoPro Rechargeable Battery For MAX,https://galaxycamera.id/en/gopro-rechargeable-battery-for-max.html,"Rp479.000,00"
62,GoPro Handlebar / Seatpost / Pole Mount,https://galaxycamera.id/en/gopro-handlebar-seatpost-pole-mount.html,"Rp479.000,00"
63,Lensa Canon EF-M 18-150mm F/3.5-6.3 IS STM Silver,https://galaxycamera.id/en/lensa-canon-ef-m-18-150mm-silver.html,"Rp6.950.000,00"
64,Lensa Canon EF-M 18-150mm F/3.5-6.3 IS STM Graphite,https://galaxycamera.id/en/lensa-canon-ef-m-18-150mm-graphite.html,"Rp6.950.000,00"
65,Lensa Canon EF-M 28mm F/3.5 Macro IS STM,https://galaxycamera.id/en/lensa-canon-ef-m-28mm-f-3-5-macro-is-stm.html,"Rp4.680.000,00"
66,Lensa Canon EF-M 32mm F/1.4 STM,https://galaxycamera.id/en/lensa-canon-ef-m-32mm-f-1-4-stm.html,"Rp7.645.000,00"
67,E-Reise 5018-F Professional Tripod,https://galaxycamera.id/en/e-reise-5018-f-professional-tripod.html,"Rp2.090.000,00"
68,Manfrotto Compact Light Tripod Red,https://galaxycamera.id/en/tripod-manfrotto-compact-light-red.html,"Rp790.000,00"
69,Manfrotto Compact Light Tripod Black,https://galaxycamera.id/en/tripod-manfrotto-compact-light-black.html,"Rp790.000,00"
70,GoPro Dual Battery Charger + Battery For MAX,https://galaxycamera.id/en/gopro-dual-battery-charger-battery-for-max.html,"Rp959.000,00"
71,Sony ZV-1,https://galaxycamera.id/en/sony-zv-1.html,"Rp9.999.000,00"
72,Godox RFT-05 Collapsible 5 in 1 Reflector 150 x 200cm,https://galaxycamera.id/en/godox-rft-05-collapsible-5-in-1-reflector-150-x-200cm.html,"Rp638.000,00"
73,Godox RFT-05 Collapsible 5 in 1 Reflector 120 x 180cm,https://galaxycamera.id/en/godox-rft-05-collapsible-5-in-1-reflector-120-x-180cm.html,"Rp476.000,00"
74,Godox RFT-05 Collapsible 5 in 1 Reflector 80cm,https://galaxycamera.id/en/godox-rft-05-collapsible-5-in-1-reflector-80cm.html,"Rp180.000,00"
75,Baterai Nikon EN-EL25 Original,https://galaxycamera.id/en/baterai-nikon-en-el25-original.html,"Rp1.149.000,00"
